DDX11L2	ENSG00000290825	Gene Expression
DDX11L1	ENSG00000223972	Gene Expression
WASH7P	ENSG00000227232	Gene Expression
MIR6859-1	ENSG00000278267	Gene Expression
MIR1302-2HG	ENSG00000243485	Gene Expression
MIR1302-2	ENSG00000284332	Gene Expression
FAM138A	ENSG00000237613	Gene Expression
OR4G4P	ENSG00000268020	Gene Expression
ENSG00000290826	ENSG00000290826	Gene Expression
OR4G11P	ENSG00000240361	Gene Expression
OR4F5	ENSG00000186092	Gene Expression
ENSG00000238009	ENSG00000238009	Gene Expression
ENSG00000239945	ENSG00000239945	Gene Expression
CICP27	ENSG00000233750	Gene Expression
ENSG00000268903	ENSG00000268903	Gene Expression
ENSG00000269981	ENSG00000269981	Gene Expression
ENSG00000239906	ENSG00000239906	Gene Expression
ENSG00000241860	ENSG00000241860	Gene Expression
RNU6-1100P	ENSG00000222623	Gene Expression
ENSG00000241599	ENSG00000241599	Gene Expression
DDX11L17	ENSG00000279928	Gene Expression
WASH9P	ENSG00000279457	Gene Expression
MIR6859-2	ENSG00000273874	Gene Expression
ENSG00000228463	ENSG00000228463	Gene Expression
ENSG00000286448	ENSG00000286448	Gene Expression
RPL23AP24	ENSG00000236679	Gene Expression
ENSG00000236601	ENSG00000236601	Gene Expression
ENSG00000290385	ENSG00000290385	Gene Expression
WBP1LP7	ENSG00000269732	Gene Expression
OR4F29	ENSG00000284733	Gene Expression
ENSG00000237094	ENSG00000237094	Gene Expression
CICP7	ENSG00000233653	Gene Expression
ENSG00000250575	ENSG00000250575	Gene Expression
U6	ENSG00000278757	Gene Expression
ENSG00000230021	ENSG00000230021	Gene Expression
ENSG00000235146	ENSG00000235146	Gene Expression
MTND1P23	ENSG00000225972	Gene Expression
MTND2P28	ENSG00000225630	Gene Expression
MTCO1P12	ENSG00000237973	Gene Expression
ENSG00000278791	ENSG00000278791	Gene Expression
MTCO2P12	ENSG00000229344	Gene Expression
MTATP8P1	ENSG00000240409	Gene Expression
MTATP6P1	ENSG00000248527	Gene Expression
MTCO3P12	ENSG00000198744	Gene Expression
WBP1LP6	ENSG00000268663	Gene Expression
OR4F16	ENSG00000284662	Gene Expression
CICP3	ENSG00000229376	Gene Expression
ENSG00000291215	ENSG00000291215	Gene Expression
RNU6-1199P	ENSG00000223181	Gene Expression
ENSG00000229905	ENSG00000229905	Gene Expression
ENSG00000228327	ENSG00000228327	Gene Expression
LINC01409	ENSG00000237491	Gene Expression
ENSG00000285268	ENSG00000285268	Gene Expression
ENSG00000290784	ENSG00000290784	Gene Expression
ENSG00000230092	ENSG00000230092	Gene Expression
FAM87B	ENSG00000177757	Gene Expression
LINC00115	ENSG00000225880	Gene Expression
LINC01128	ENSG00000228794	Gene Expression
ENSG00000288531	ENSG00000288531	Gene Expression
FAM41C	ENSG00000230368	Gene Expression
TUBB8P11	ENSG00000234711	Gene Expression
ENSG00000283040	ENSG00000283040	Gene Expression
ENSG00000272438	ENSG00000272438	Gene Expression
ENSG00000230699	ENSG00000230699	Gene Expression
ENSG00000241180	ENSG00000241180	Gene Expression
LINC02593	ENSG00000223764	Gene Expression
SAMD11	ENSG00000187634	Gene Expression
NOC2L	ENSG00000188976	Gene Expression
KLHL17	ENSG00000187961	Gene Expression
PLEKHN1	ENSG00000187583	Gene Expression
PERM1	ENSG00000187642	Gene Expression
ENSG00000272512	ENSG00000272512	Gene Expression
HES4	ENSG00000188290	Gene Expression
ISG15	ENSG00000187608	Gene Expression
ENSG00000231702	ENSG00000231702	Gene Expression
ENSG00000224969	ENSG00000224969	Gene Expression
AGRN	ENSG00000188157	Gene Expression
ENSG00000242590	ENSG00000242590	Gene Expression
ENSG00000291156	ENSG00000291156	Gene Expression
ENSG00000273443	ENSG00000273443	Gene Expression
ENSG00000217801	ENSG00000217801	Gene Expression
RNF223	ENSG00000237330	Gene Expression
C1orf159	ENSG00000131591	Gene Expression
ENSG00000285812	ENSG00000285812	Gene Expression
LINC01342	ENSG00000223823	Gene Expression
MIR200B	ENSG00000207730	Gene Expression
MIR200A	ENSG00000207607	Gene Expression
MIR429	ENSG00000198976	Gene Expression
ENSG00000272141	ENSG00000272141	Gene Expression
TTLL10-AS1	ENSG00000205231	Gene Expression
TTLL10	ENSG00000162571	Gene Expression
TNFRSF18	ENSG00000186891	Gene Expression
TNFRSF4	ENSG00000186827	Gene Expression
SDF4	ENSG00000078808	Gene Expression
B3GALT6	ENSG00000176022	Gene Expression
C1QTNF12	ENSG00000184163	Gene Expression
ENSG00000260179	ENSG00000260179	Gene Expression
UBE2J2	ENSG00000160087	Gene Expression
LINC01786	ENSG00000230415	Gene Expression
SCNN1D	ENSG00000162572	Gene Expression
ACAP3	ENSG00000131584	Gene Expression
MIR6726	ENSG00000278073	Gene Expression
PUSL1	ENSG00000169972	Gene Expression
INTS11	ENSG00000127054	Gene Expression
MIR6727	ENSG00000283712	Gene Expression
ENSG00000240731	ENSG00000240731	Gene Expression
CPTP	ENSG00000224051	Gene Expression
TAS1R3	ENSG00000169962	Gene Expression
DVL1	ENSG00000107404	Gene Expression
MIR6808	ENSG00000284372	Gene Expression
MXRA8	ENSG00000162576	Gene Expression
AURKAIP1	ENSG00000175756	Gene Expression
NDUFB4P8	ENSG00000223663	Gene Expression
CCNL2	ENSG00000221978	Gene Expression
MRPL20-AS1	ENSG00000224870	Gene Expression
MRPL20	ENSG00000242485	Gene Expression
RN7SL657P	ENSG00000264293	Gene Expression
MRPL20-DT	ENSG00000272455	Gene Expression
ANKRD65	ENSG00000235098	Gene Expression
ANKRD65-AS1	ENSG00000225905	Gene Expression
TMEM88B	ENSG00000205116	Gene Expression
LINC01770	ENSG00000225285	Gene Expression
VWA1	ENSG00000179403	Gene Expression
ATAD3C	ENSG00000215915	Gene Expression
ATAD3B	ENSG00000160072	Gene Expression
ENSG00000290916	ENSG00000290916	Gene Expression
ENSG00000284740	ENSG00000284740	Gene Expression
ATAD3A	ENSG00000197785	Gene Expression
TMEM240	ENSG00000205090	Gene Expression
SSU72	ENSG00000160075	Gene Expression
ENSG00000215014	ENSG00000215014	Gene Expression
ENSG00000274481	ENSG00000274481	Gene Expression
FNDC10	ENSG00000228594	Gene Expression
ENSG00000286989	ENSG00000286989	Gene Expression
ENSG00000272106	ENSG00000272106	Gene Expression
MIB2	ENSG00000197530	Gene Expression
MMP23B	ENSG00000189409	Gene Expression
CDK11B	ENSG00000248333	Gene Expression
ENSG00000272004	ENSG00000272004	Gene Expression
SLC35E2B	ENSG00000189339	Gene Expression
ENSG00000269737	ENSG00000269737	Gene Expression
MMP23A	ENSG00000215914	Gene Expression
CDK11A	ENSG00000008128	Gene Expression
ENSG00000268575	ENSG00000268575	Gene Expression
ENSG00000227775	ENSG00000227775	Gene Expression
ENSG00000290854	ENSG00000290854	Gene Expression
SLC35E2A	ENSG00000215790	Gene Expression
NADK	ENSG00000008130	Gene Expression
GNB1	ENSG00000078369	Gene Expression
GNB1-DT	ENSG00000231050	Gene Expression
